frame,z_center_m,d_chess_px,z_chess_m,W_est_mm,H_est_mm,err_W_mm,err_H_mm
33,2.491,21,2.491,127.4,221.6,2.4,43.6
34,2.491,21,2.491,129.6,224.7,4.6,46.7
51,2.1796,24,2.1796,77.6,184.1,-47.4,6.1
53,2.2744,23,2.2744,83.1,186.8,-41.9,8.8
58,2.2744,23,2.2744,84.2,198.0,-40.8,20.0
60,2.1796,24,2.1796,107.3,195.2,-17.7,17.2
61,2.1796,24,2.1796,128.0,196.1,3.0,18.1
62,2.1796,24,2.1796,130.3,199.3,5.3,21.3
64,1.9374,27,1.9374,117.4,177.3,-7.6,-0.7
66,2.0924,25,2.0924,128.8,186.0,3.8,8.0
67,2.0924,25,2.0924,128.2,187.9,3.2,9.9
68,1.8682,28,1.8682,77.6,155.2,-47.4,-22.8
69,1.8682,28,1.8682,79.2,158.5,-45.8,-19.5
70,2.0119,26,2.0119,135.9,147.4,10.9,-30.6
73,2.0119,26,2.0119,104.7,188.6,-20.3,10.6
75,1.9374,27,1.9374,103.2,178.6,-21.8,0.6
78,1.6874,31,1.6874,104.7,161.5,-20.3,-16.5
80,1.6347,32,1.6347,102.7,159.8,-22.3,-18.2
81,1.6347,32,1.6347,105.5,162.1,-19.5,-15.9
82,1.8038,29,1.8038,117.6,179.7,-7.4,1.7
83,1.5852,33,1.5852,103.3,160.0,-21.7,-18.0
84,1.5852,33,1.5852,105.3,163.0,-19.7,-15.0
85,1.7437,30,1.7437,116.9,181.6,-8.1,3.6
86,1.5385,34,1.5385,104.4,162.1,-20.6,-15.9
87,1.5385,34,1.5385,104.9,164.5,-20.1,-13.5
88,1.4946,35,1.4946,103.6,160.3,-21.4,-17.7
89,1.4946,35,1.4946,105.2,162.2,-19.8,-15.8
90,1.4946,35,1.4946,105.8,163.2,-19.2,-14.8
91,1.4531,36,1.4531,103.6,161.1,-21.4,-16.9
92,1.4531,36,1.4531,105.2,163.5,-19.8,-14.5
93,1.4138,37,1.4138,104.0,160.2,-21.0,-17.8
94,1.4138,37,1.4138,105.0,160.9,-20.0,-17.1
95,1.3766,38,1.3766,101.1,156.4,-23.9,-21.6
96,1.3766,38,1.3766,104.7,160.3,-20.3,-17.7
97,1.3766,38,1.3766,105.6,161.3,-19.4,-16.7
98,1.3413,39,1.3413,103.9,159.4,-21.1,-18.6
99,1.3413,39,1.3413,105.3,161.1,-19.7,-16.9
100,1.3078,40,1.3078,103.8,159.5,-21.2,-18.5
101,1.3078,40,1.3078,104.8,161.7,-20.2,-16.3
102,1.2759,41,1.2759,102.8,160.0,-22.2,-18.0
103,1.2759,41,1.2759,104.7,159.2,-20.3,-18.8
104,1.2455,42,1.2455,103.9,159.0,-21.1,-19.0
105,1.2165,43,1.2165,103.2,160.1,-21.8,-17.9
106,1.2165,43,1.2165,105.9,164.7,-19.1,-13.3
107,1.1889,44,1.1889,105.8,161.3,-19.2,-16.7
108,1.1889,44,1.1889,107.3,161.7,-17.7,-16.3
109,1.1625,45,1.1625,106.7,160.8,-18.3,-17.2
110,1.1372,46,1.1372,129.1,186.1,4.1,8.1
111,1.1372,46,1.1372,132.7,176.0,7.7,-2.0
112,1.113,47,1.113,131.5,186.5,6.5,8.5
113,1.0898,48,1.0898,131.1,185.0,6.1,7.0
114,1.0676,49,1.0676,146.6,214.3,21.6,36.3
115,1.0462,50,1.0462,129.8,183.6,4.8,5.6
116,1.0462,50,1.0462,131.7,186.1,6.7,8.1
117,1.0257,51,1.0257,131.6,184.5,6.6,6.5
118,1.006,52,1.006,131.0,185.4,6.0,7.4
119,0.987,53,0.987,131.1,184.9,6.1,6.9
120,0.9687,54,0.9687,130.3,184.2,5.3,6.2
121,0.9511,55,0.9511,130.1,183.4,5.1,5.4
122,0.9511,55,0.9511,132.4,186.5,7.4,8.5
123,0.9341,56,0.9341,132.0,186.3,7.0,8.3
124,0.9177,57,0.9177,131.8,186.2,6.8,8.2
125,0.9019,58,0.9019,131.8,186.1,6.8,8.1
126,0.8866,59,0.8866,132.4,186.0,7.4,8.0
127,0.8718,60,0.8718,132.1,185.5,7.1,7.5
128,0.8437,62,0.8437,129.9,182.6,4.9,4.6
129,0.8303,63,0.8303,130.4,182.5,5.4,4.5
130,0.8174,64,0.8174,130.5,182.9,5.5,4.9
131,0.8048,65,0.8048,131.3,184.0,6.3,6.0
132,0.7926,66,0.7926,131.3,183.8,6.3,5.8
133,0.7808,67,0.7808,131.5,184.3,6.5,6.3
134,0.7693,68,0.7693,131.5,184.1,6.5,6.1
135,0.7581,69,0.7581,131.8,184.1,6.8,6.1
136,0.7368,71,0.7368,130.5,182.2,5.5,4.2
